name,borough_name,latitude,longitude,url,manual_frequency,keywords,frequency,keyword_frequency
Alexandra Park Library,Haringey,51.59833448,-0.135207795,http://www.haringey.gov.uk/alexandra-park-library,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
Church End ,Barnet,51.59932321,-0.195695662,,,,,
Harefield Library,Hillingdon,51.60389981,-0.481377327,,,,,
South Woodford Library and Gym,Redbridge,51.59663025,0.023571198,,,,,
Colindale,Barnet,51.60129207,-0.243478885,https://www.barnet.gov.uk/libraries/find-your-local-library/colindale-library,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
South Friern ,Barnet,51.59993455,-0.146935286,https://www.barnet.gov.uk/libraries/find-your-local-library/south-friern-library,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
Harold Wood Library,Havering,51.59401788,0.237108698,,,,,
Burnt Oak ,Barnet,51.60276504,-0.261638438,https://www.barnet.gov.uk/libraries/find-your-local-library/burnt-oak-library,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
Collier Row Library,Havering,51.59796672,0.162482974,,,,,
Coombes Croft Library,Haringey,51.60315254,-0.066697867,http://www.haringey.gov.uk/coombes-croft-library,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
Northwood Library,Hillingdon,51.61183903,-0.423276417,,,,,
Woodford Green Library,Redbridge,51.6070902,0.033954993,,,,,
