MSOA11CD,MSOA11NM,geometry
E02000431,Haringey 035,POINT (528824.0261827069 187669.7890855018)
E02000432,Haringey 036,POINT (531172.7798380627 187645.2542798854)
E02000433,Harrow 001,POINT (516499.9023795401 193256.34011705662)
E02000434,Harrow 002,POINT (518242.88768062217 191764.0645301783)
E02000435,Harrow 003,POINT (516310.7213922457 191677.59069689972)
E02000436,Harrow 004,POINT (513676.37344457983 192126.34981687597)
E02000437,Harrow 005,POINT (515130.15926615626 191124.70210430722)
E02000438,Harrow 006,POINT (513293.208772324 191016.69994481595)
E02000439,Harrow 007,POINT (519203.69108343904 190907.64422021777)
E02000440,Harrow 008,POINT (517016.902417117 190918.29227669022)
E02000441,Harrow 009,POINT (511344.0124494857 190881.77464753477)
E02000442,Harrow 010,POINT (518771.8557105935 190375.96174691763)
E02000443,Harrow 011,POINT (515133.11781595985 190274.2830677848)
E02000444,Harrow 012,POINT (517697.06648103974 190148.20487835456)
E02000445,Harrow 013,POINT (515776.2712772461 189819.16163461359)
E02000447,Harrow 015,POINT (513801.20252310863 189944.8566055468)
E02000448,Harrow 016,POINT (512166.47672433854 189626.95441993506)
E02000449,Harrow 017,POINT (518378.92186243663 189344.91601999625)
E02000451,Harrow 019,POINT (513147.743890663 189164.6076348038)
E02000452,Harrow 020,POINT (515221.9767625409 189008.5623855035)
E02000453,Harrow 021,POINT (514333.2916992802 188653.29524621522)
E02000454,Harrow 022,POINT (512000.37912420963 188351.22403265457)
E02000455,Harrow 023,POINT (515741.63558030495 188206.17985828407)
E02000456,Harrow 024,POINT (514157.57968747703 187993.5752019236)
E02000457,Harrow 025,POINT (513149.32511034247 187732.93413253725)
E02000459,Harrow 027,POINT (514319.1961338052 186813.2414945469)
E02000460,Harrow 028,POINT (513189.7762514526 186636.31435784738)
E02000461,Harrow 029,POINT (515414.40547760046 186767.2022043133)
E02000462,Harrow 030,POINT (513804.8284948103 185898.61323448687)
E02000463,Harrow 031,POINT (512808.9765918204 185803.0597957219)
E02000464,Havering 001,POINT (553999.9947124214 193423.47561049837)
E02000465,Havering 002,POINT (555355.7085871706 192213.46554422798)
E02000466,Havering 003,POINT (551347.4693129768 192721.64967996077)
E02000467,Havering 004,POINT (553774.3765983549 191769.15190911412)
E02000468,Havering 005,POINT (549403.6447791579 192432.9651783195)
E02000469,Havering 006,POINT (552847.2155026225 191207.77717759533)
E02000470,Havering 007,POINT (555881.2308028761 190490.47817005336)
E02000471,Havering 008,POINT (551403.0605635344 190702.07435341933)
E02000472,Havering 009,POINT (550417.660481121 190325.85600245287)
E02000473,Havering 010,POINT (554655.7700291321 189503.72242057262)
E02000474,Havering 011,POINT (549768.7196196156 189631.6441340713)
E02000475,Havering 012,POINT (552795.5842933237 189688.50360409325)
E02000476,Havering 013,POINT (551317.9038890612 188960.46584242771)
E02000477,Havering 014,POINT (552964.8269568849 188355.98929346318)
E02000478,Havering 015,POINT (554760.1153857339 188259.72725145213)
E02000479,Havering 016,POINT (551967.8228831752 187998.2938083021)
E02000480,Havering 017,POINT (550059.1470205454 188021.4247776278)
E02000481,Havering 018,POINT (559066.6034441717 186853.53334853312)
E02000482,Havering 019,POINT (556494.3544442254 187545.26517823452)
E02000483,Havering 020,POINT (553900.7050879474 187127.03734438424)
E02000484,Havering 021,POINT (552366.8164658834 186982.14099906627)
E02000485,Havering 022,POINT (555221.9681515732 186765.21560613957)
E02000486,Havering 023,POINT (553238.0040352176 186141.59908737164)
E02000487,Havering 024,POINT (556512.3258779377 184739.3806115632)
E02000488,Havering 025,POINT (553667.5967460749 185379.27099112736)
E02000489,Havering 026,POINT (552341.9196269154 184924.50028599091)
E02000490,Havering 027,POINT (552339.3790645947 183986.3975176751)
E02000491,Havering 028,POINT (551091.6390990939 182664.6392783418)
E02000492,Havering 029,POINT (553490.9450097817 181453.03688041266)
E02000493,Havering 030,POINT (552723.2648362156 182040.43101583468)
E02000494,Hillingdon 001,POINT (508285.8826568618 190862.1062802343)
E02000495,Hillingdon 002,POINT (509608.75854193734 190710.79300224662)
E02000496,Hillingdon 003,POINT (505638.5068145071 189946.73988488418)
E02000497,Hillingdon 004,POINT (510306.31315003627 189145.85525383503)
E02000498,Hillingdon 005,POINT (508191.15364136157 188537.2104476702)
E02000499,Hillingdon 006,POINT (511296.6949132749 187918.66053679903)
E02000500,Hillingdon 007,POINT (509455.2157052617 187981.6885106994)
E02000501,Hillingdon 008,POINT (510991.2557318681 186976.44899324517)
E02000502,Hillingdon 009,POINT (509130.87082112726 185879.55713970805)
E02000503,Hillingdon 010,POINT (510548.67401991034 186206.9422613004)
E02000504,Hillingdon 011,POINT (507477.51829413546 186180.83777906597)
E02000506,Hillingdon 013,POINT (506406.1429579188 185595.0331761079)
E02000507,Hillingdon 014,POINT (508607.3324162589 184079.63065993966)
E02000508,Hillingdon 015,POINT (506163.7237049577 183536.34101869713)
E02000509,Hillingdon 016,POINT (505153.2073508812 183285.08902927153)
E02000510,Hillingdon 017,POINT (507076.2999383041 182643.64405154224)
E02000511,Hillingdon 018,POINT (509286.5410743285 182666.88953424882)
E02000512,Hillingdon 019,POINT (508105.30798748473 182553.875350884)
E02000513,Hillingdon 020,POINT (511066.16753745184 182292.87440583666)
E02000514,Hillingdon 021,POINT (510270.9359538245 181741.12800504183)
E02000515,Hillingdon 022,POINT (505575.27083586704 181219.3626224165)
E02000516,Hillingdon 023,POINT (511972.9986895636 181527.9306096268)
E02000517,Hillingdon 024,POINT (508525.1870301466 181222.95169234363)
E02000518,Hillingdon 025,POINT (507056.93289272394 180853.03115731213)
E02000519,Hillingdon 026,POINT (510669.449542168 180841.5095060352)
E02000520,Hillingdon 027,POINT (509517.34982430923 180139.19129436454)
E02000521,Hillingdon 028,POINT (507633.9740217633 179262.8352011972)
E02000522,Hillingdon 029,POINT (506090.26167573006 179331.66251287522)
E02000523,Hillingdon 030,POINT (509486.31270336115 178940.13880092287)
E02000524,Hillingdon 031,POINT (506657.4873184107 176436.2812033822)
E02000525,Hillingdon 032,POINT (509416.33751831995 177394.30517691324)
E02000526,Hounslow 001,POINT (521534.5056272579 178509.63342962915)
E02000528,Hounslow 003,POINT (518431.90011280857 178409.95047476017)
E02000529,Hounslow 004,POINT (512846.599800506 177948.4083428039)
E02000530,Hounslow 005,POINT (511214.18784153217 178049.52927141768)
E02000531,Hounslow 006,POINT (517133.042466797 177596.9790141235)
E02000532,Hounslow 007,POINT (520904.75441517116 177273.00105778777)
E02000533,Hounslow 008,POINT (519886.20945717464 177479.11118241685)
E02000534,Hounslow 009,POINT (515222.91612686147 177899.24468591055)
E02000535,Hounslow 010,POINT (511867.40895914036 177035.83007333378)
E02000536,Hounslow 011,POINT (513069.40697624686 176715.95294479033)
E02000537,Hounslow 012,POINT (514254.96985381684 176993.98174586968)
E02000538,Hounslow 013,POINT (510808.5539204585 176160.23963095338)
E02000539,Hounslow 014,POINT (516079.0278838387 176209.3466695597)
E02000540,Hounslow 015,POINT (514759.4254596072 175989.32281901315)
E02000541,Hounslow 016,POINT (511829.0377966353 175852.39491797573)
E02000542,Hounslow 017,POINT (512848.3712264429 175717.9545900694)
E02000543,Hounslow 018,POINT (513701.4663077867 175290.08197250735)
E02000544,Hounslow 019,POINT (514786.69984456873 175037.35365813077)
E02000545,Hounslow 020,POINT (516052.87042886997 175093.62873982053)
E02000546,Hounslow 021,POINT (512289.10946675367 174517.03338618323)
E02000547,Hounslow 022,POINT (510016.64369096386 174591.39267059855)
E02000548,Hounslow 023,POINT (508291.23002421774 173289.66162920644)
E02000549,Hounslow 024,POINT (511279.7292421015 173404.88345301244)
E02000550,Hounslow 025,POINT (510023.5421185372 172961.07189109497)
E02000551,Hounslow 026,POINT (512062.11197716795 172334.16865100685)
E02000552,Hounslow 027,POINT (509413.85820869426 172069.8613231028)
E02000553,Hounslow 028,POINT (511424.77275626274 171260.6633442514)
E02000554,Islington 001,POINT (530218.3941660242 187433.42633759163)
E02000555,Islington 002,POINT (529622.4705006739 187203.0897680416)
E02000556,Islington 003,POINT (530560.5798535437 186921.93366542616)
E02000557,Islington 004,POINT (529276.7311382808 186620.004946432)
E02000558,Islington 005,POINT (531010.8724953636 186444.4831412456)
E02000559,Islington 006,POINT (531655.1578620576 186234.02057701768)
E02000560,Islington 007,POINT (530590.1345786836 186133.28083915028)
E02000561,Islington 008,POINT (529696.5691404917 186039.7355826071)
E02000562,Islington 009,POINT (532085.09917326 185658.68897115372)
E02000563,Islington 010,POINT (529990.1269002797 185508.93757905244)
E02000564,Islington 011,POINT (530893.1017802259 185447.47469220086)
E02000565,Islington 012,POINT (532879.5226445793 185215.0940854226)
E02000566,Islington 013,POINT (531493.3929740309 185063.4713222833)
E02000567,Islington 014,POINT (532641.0306882976 184693.81593407792)
E02000568,Islington 015,POINT (530448.6281466671 184601.76009215426)
E02000569,Islington 016,POINT (531998.1338073736 184443.4223698879)
E02000570,Islington 017,POINT (531156.141135691 184114.6285561831)
E02000571,Islington 018,POINT (532308.3013509352 183834.66434302717)
E02000572,Islington 019,POINT (530697.2587635145 183607.7391200333)
E02000573,Islington 020,POINT (531667.3697189656 183447.00056155294)
E02000574,Islington 021,POINT (530953.6105241204 183055.0909456364)
E02000575,Islington 022,POINT (531606.973258174 182381.68522465957)
E02000576,Islington 023,POINT (532460.7932829359 182360.66178920178)
E02000577,Kensington and Chelsea 001,POINT (523989.73525498615 182187.24321843428)
E02000578,Kensington and Chelsea 002,POINT (523620.9029904821 181919.6851798848)
E02000579,Kensington and Chelsea 003,POINT (523659.1587355878 181379.62116709538)
E02000580,Kensington and Chelsea 004,POINT (524598.7998623071 181343.79296048186)
E02000581,Kensington and Chelsea 005,POINT (523997.82573835785 180757.56437830976)
E02000582,Kensington and Chelsea 006,POINT (525058.1885332485 180708.24268506913)
E02000583,Kensington and Chelsea 007,POINT (524368.2628606781 180532.4713863443)
E02000584,Kensington and Chelsea 008,POINT (525459.1991498879 180069.0555954336)
E02000585,Kensington and Chelsea 009,POINT (524511.4806365905 179636.06047779002)
E02000586,Kensington and Chelsea 010,POINT (526050.4328889974 179353.5116184145)
E02000587,Kensington and Chelsea 011,POINT (525230.8465820613 179214.2173215106)
E02000588,Kensington and Chelsea 012,POINT (527640.1220828076 179109.9181945027)
E02000589,Kensington and Chelsea 013,POINT (525781.3436724808 178843.0913062513)
E02000590,Kensington and Chelsea 014,POINT (527202.178379428 178741.99710196815)
E02000591,Kensington and Chelsea 015,POINT (525090.5952088311 178662.25538729056)
E02000592,Kensington and Chelsea 016,POINT (526492.1372249002 178689.8164837165)
E02000593,Kensington and Chelsea 017,POINT (525693.7886407744 178183.9462985299)
E02000594,Kensington and Chelsea 018,POINT (527833.2288304863 178091.18309982796)
E02000595,Kensington and Chelsea 019,POINT (526959.9935285347 177990.47698184452)
E02000596,Kensington and Chelsea 020,POINT (526190.0588773288 177884.45367152602)
E02000597,Kensington and Chelsea 021,POINT (526382.1017964481 177326.76700044377)
E02000598,Kingston upon Thames 001,POINT (518227.3379130795 171042.64579255052)
E02000599,Kingston upon Thames 002,POINT (520915.3890732502 170596.80802013248)
E02000600,Kingston upon Thames 003,POINT (519471.10169351345 170151.7565092212)
E02000601,Kingston upon Thames 004,POINT (518373.8705983447 170045.5782214999)
E02000602,Kingston upon Thames 005,POINT (518868.0711269357 169097.6572782296)
E02000603,Kingston upon Thames 006,POINT (519963.91725904605 168873.84894950813)
E02000604,Kingston upon Thames 007,POINT (521583.5160397685 168629.42392910895)
E02000605,Kingston upon Thames 008,POINT (520664.29844860354 168322.83665952124)
E02000606,Kingston upon Thames 009,POINT (518109.9126031817 168510.24698259382)
E02000607,Kingston upon Thames 010,POINT (519195.0892402161 168007.37780231948)
E02000608,Kingston upon Thames 011,POINT (517879.351824019 167394.18371934872)
E02000609,Kingston upon Thames 012,POINT (521112.4813982988 167118.6127092071)
E02000610,Kingston upon Thames 013,POINT (518281.4126064126 166826.16337051074)
E02000611,Kingston upon Thames 014,POINT (519788.92618321633 166900.94315827132)
E02000612,Kingston upon Thames 015,POINT (521886.26136351883 166779.91757641156)
E02000613,Kingston upon Thames 016,POINT (518433.67646001704 166023.5453984559)
E02000614,Kingston upon Thames 017,POINT (519842.6054155185 165512.37241868672)
E02000615,Kingston upon Thames 018,POINT (518166.3194109969 164892.39247113006)
E02000616,Kingston upon Thames 019,POINT (518898.3417026411 163920.63031620052)
E02000617,Kingston upon Thames 020,POINT (517480.8971563538 162284.7350969633)
E02000619,Lambeth 002,POINT (531171.4419879863 178755.41853140583)
E02000620,Lambeth 003,POINT (530945.7320271983 178266.39302958292)
E02000621,Lambeth 004,POINT (530409.586345098 177530.69662532775)
E02000622,Lambeth 005,POINT (531359.9288811508 177378.95221276357)
E02000623,Lambeth 006,POINT (530285.1823015977 176958.4904948739)
E02000624,Lambeth 007,POINT (531167.2540654776 176790.88771939103)
E02000625,Lambeth 008,POINT (529950.1679837996 176433.82958589986)
E02000626,Lambeth 009,POINT (531763.4640656598 176280.58747082175)
E02000627,Lambeth 010,POINT (530523.9441468536 176036.85276999322)
E02000628,Lambeth 011,POINT (531214.1135786758 175868.51152856246)
E02000629,Lambeth 012,POINT (529697.1227695567 175892.45957035097)
E02000630,Lambeth 013,POINT (528975.7905790453 175622.7042881105)
E02000631,Lambeth 014,POINT (532286.543463662 175556.26864165268)
E02000632,Lambeth 015,POINT (530335.4943352567 175265.38442833096)
E02000633,Lambeth 016,POINT (531000.8192482665 175093.57125203428)
E02000634,Lambeth 017,POINT (529720.0273255059 175053.3428545482)
E02000635,Lambeth 018,POINT (531649.9640373085 174568.25126259963)
E02000636,Lambeth 019,POINT (529241.438641041 174631.57350833507)
E02000637,Lambeth 020,POINT (530850.1731246376 174284.98648269646)
E02000638,Lambeth 021,POINT (530422.355602594 173988.0880923949)
E02000639,Lambeth 022,POINT (530045.5424556602 173724.70020362848)
E02000640,Lambeth 023,POINT (529423.9786880402 173569.0678982195)
E02000641,Lambeth 024,POINT (531144.6439403145 173458.38526565582)
E02000642,Lambeth 025,POINT (532107.1036263048 173252.35669736736)
E02000643,Lambeth 026,POINT (530317.7256621592 172827.69501023114)
E02000644,Lambeth 027,POINT (531211.7531949134 172484.1258485102)
E02000645,Lambeth 028,POINT (532164.7233823806 172235.30285258865)
E02000646,Lambeth 029,POINT (530009.854286845 172255.72485344394)
E02000647,Lambeth 030,POINT (531228.2599797738 171569.63727917615)
E02000648,Lambeth 031,POINT (532214.2979323221 171404.70620089615)
E02000649,Lambeth 032,POINT (530056.6521633667 171352.18541238786)
E02000650,Lambeth 033,POINT (533018.2306684516 171198.9965221725)
E02000651,Lambeth 034,POINT (530411.2255858654 170569.0472822497)
E02000652,Lambeth 035,POINT (529580.7362096297 170092.85454177728)
E02000653,Lewisham 001,POINT (536182.6075308498 178517.2000928781)
E02000654,Lewisham 002,POINT (536703.4083308441 177940.51476566863)
E02000655,Lewisham 003,POINT (535705.6757467185 177552.24446626255)
E02000657,Lewisham 005,POINT (536747.2310924309 176556.22845645182)
E02000658,Lewisham 006,POINT (535740.0573632242 176545.61816308374)
E02000659,Lewisham 007,POINT (538620.0220266851 176123.46085265066)
E02000660,Lewisham 008,POINT (537093.8246821573 176047.89428963762)
E02000661,Lewisham 009,POINT (539470.443435548 176060.2895292373)
E02000662,Lewisham 010,POINT (536121.0322986377 175638.93309971792)
E02000663,Lewisham 011,POINT (537530.3077091733 175557.6085792371)
E02000664,Lewisham 012,POINT (538203.0336151791 175226.77164644707)
E02000665,Lewisham 013,POINT (539311.7852329168 174872.32069268633)
E02000666,Lewisham 014,POINT (537092.5442149587 174929.29361176703)
E02000667,Lewisham 015,POINT (536613.3892168454 174499.4572419403)
E02000668,Lewisham 016,POINT (539746.6850031664 174245.0850161591)
E02000669,Lewisham 017,POINT (538781.7802771898 174130.35429843745)
E02000670,Lewisham 018,POINT (538210.1778959633 173825.86996488553)
E02000671,Lewisham 019,POINT (536212.4271763103 173758.2094648751)
E02000672,Lewisham 020,POINT (537350.0079816537 173697.94359063276)
E02000673,Lewisham 021,POINT (535195.8960749476 173523.0053047393)
E02000674,Lewisham 022,POINT (538963.6918228889 173249.64354108463)
E02000675,Lewisham 023,POINT (540364.2780555026 173177.54723231288)
E02000676,Lewisham 024,POINT (536179.2524538632 172982.7762173914)
E02000677,Lewisham 025,POINT (538146.3370633852 172859.7946106725)
E02000678,Lewisham 026,POINT (539712.554984305 172626.56107920743)
E02000679,Lewisham 027,POINT (535906.3693592664 172358.8024304668)
E02000680,Lewisham 028,POINT (534877.1115484462 172447.15854295445)
E02000681,Lewisham 029,POINT (537095.5341911189 172393.96913512144)
E02000682,Lewisham 030,POINT (538634.4882252185 172140.57173837328)
E02000683,Lewisham 031,POINT (541276.7661920192 172013.7531693279)
E02000685,Lewisham 033,POINT (534751.5178471185 171754.76407797597)
E02000686,Lewisham 034,POINT (537631.8931787574 171188.57995005048)
E02000687,Lewisham 035,POINT (535744.0420008567 171450.83275720757)
E02000689,Merton 001,POINT (525394.6475371701 172039.651186851)
E02000690,Merton 002,POINT (523069.43695293466 171418.8905749492)
E02000691,Merton 003,POINT (525333.4034454797 171054.0628088143)
E02000692,Merton 004,POINT (524245.59059144283 170693.59407674472)
E02000693,Merton 005,POINT (526801.6246695261 170502.5691277384)
E02000694,Merton 006,POINT (526049.3909933956 170522.9644065117)
E02000695,Merton 007,POINT (528554.6440530348 170257.44581826928)
E02000696,Merton 008,POINT (527465.0601208176 170088.90582518512)
E02000697,Merton 009,POINT (525390.5811504213 169948.97692261534)
E02000698,Merton 010,POINT (522661.52183543536 169811.7553501896)
E02000699,Merton 011,POINT (524249.81928373576 169608.5620488321)
E02000700,Merton 012,POINT (526468.8018003327 169450.11686038764)
E02000701,Merton 013,POINT (528038.4675409916 169470.59711075446)
E02000702,Merton 014,POINT (528805.7405810395 168776.851359564)
E02000703,Merton 015,POINT (525198.9506230516 169086.37931308692)
E02000704,Merton 016,POINT (523236.10661629506 168943.03425956692)
E02000705,Merton 017,POINT (529491.717806844 169043.0257902291)
E02000706,Merton 018,POINT (527297.4250407369 168989.30326088646)
E02000707,Merton 019,POINT (529929.0933505628 168160.26485084166)
E02000708,Merton 020,POINT (522861.2652032139 167954.96895574787)
E02000709,Merton 021,POINT (524307.7246881785 168040.00592533234)
E02000710,Merton 022,POINT (527717.7286746277 167876.9940735151)
E02000711,Merton 023,POINT (525907.4204976324 168095.63544474164)
E02000712,Merton 024,POINT (525395.1689721249 167284.46344444132)
E02000713,Merton 025,POINT (523823.6075784333 166884.46890599464)
E02000714,Newham 001,POINT (540356.2908962145 185666.22036615544)
E02000715,Newham 002,POINT (542947.8333769693 185723.73030485644)
E02000716,Newham 003,POINT (541979.5715377864 186010.40034236072)
E02000717,Newham 004,POINT (542211.5292596068 185425.78832002127)
E02000718,Newham 005,POINT (543152.1064194835 185307.93341589897)
E02000719,Newham 006,POINT (539710.4096446547 185294.22730361982)
E02000720,Newham 007,POINT (541064.2994670882 185311.20864756484)
E02000721,Newham 008,POINT (540630.346474397 184831.99360658464)
E02000722,Newham 009,POINT (539682.214706077 184714.70440594188)
E02000723,Newham 010,POINT (542367.1607057522 184648.8684504101)
E02000724,Newham 011,POINT (541764.0088237454 184652.17510151307)
E02000725,Newham 012,POINT (538983.0170272446 184530.04836743782)
E02000726,Newham 013,POINT (538232.0664749799 184174.386756989)
E02000727,Newham 014,POINT (541354.747320663 184258.0871487442)
E02000728,Newham 015,POINT (543042.1045586539 184341.30545317236)
E02000729,Newham 016,POINT (540129.953798452 184105.14236832608)
E02000730,Newham 017,POINT (540804.059334467 184081.93706679982)
E02000731,Newham 018,POINT (542361.0725027471 183721.7187794493)
E02000732,Newham 019,POINT (541739.7188985 183649.46854259126)
E02000733,Newham 020,POINT (539355.8467259634 183611.63794872782)
E02000734,Newham 021,POINT (540040.7075598617 183548.8816911051)
E02000735,Newham 022,POINT (540946.2247642542 183348.96580791273)
E02000736,Newham 023,POINT (543513.9386938673 183257.91658643007)
E02000737,Newham 024,POINT (542698.2251133523 183071.8597756576)
E02000738,Newham 025,POINT (541820.3652947568 183022.3036298791)
E02000739,Newham 026,POINT (540539.2126054151 182858.7622067249)
E02000740,Newham 027,POINT (539363.0871371863 182650.81464315217)
E02000741,Newham 028,POINT (541233.5341643873 182503.0464751542)
E02000742,Newham 029,POINT (542410.6685461258 182379.46330214967)
E02000743,Newham 030,POINT (539960.0199051867 182131.94442064894)
E02000744,Newham 031,POINT (540648.8985708363 181964.44502241802)
E02000745,Newham 032,POINT (541857.9582925354 181770.31724883537)
E02000746,Newham 033,POINT (544107.7585283348 181811.89077365314)
E02000747,Newham 034,POINT (539612.4937937619 181343.79017207606)
E02000748,Newham 035,POINT (542498.2910263712 181153.9408262343)
E02000749,Newham 036,POINT (541047.5363657447 181102.9729310718)
E02000750,Newham 037,POINT (542139.8873142272 180208.21448380972)
E02000751,Redbridge 001,POINT (540416.3927322355 192643.3437246165)
E02000752,Redbridge 002,POINT (547537.6180454711 192329.3456564543)
E02000753,Redbridge 003,POINT (545514.4659389594 192235.269778166)
E02000754,Redbridge 004,POINT (541504.0659152644 192097.3534300803)
E02000755,Redbridge 005,POINT (542185.8848988157 191592.8437786722)
E02000756,Redbridge 006,POINT (544437.6677748517 191118.2444665531)
E02000757,Redbridge 007,POINT (540141.2025403847 190676.88623942932)
E02000758,Redbridge 008,POINT (542802.8204807163 190503.05078554948)
E02000759,Redbridge 009,POINT (541240.1584247613 190326.41471294747)
E02000760,Redbridge 010,POINT (543881.2738037714 190213.45628259736)
E02000762,Redbridge 012,POINT (543225.9069409356 189089.0801304996)
E02000763,Redbridge 013,POINT (546408.5435903703 190182.8023149419)
E02000764,Redbridge 014,POINT (540138.1864910333 189084.66543496773)
E02000765,Redbridge 015,POINT (543644.6269722683 188829.93509003046)
E02000767,Redbridge 017,POINT (544340.8729824476 188791.34922256926)
E02000768,Redbridge 018,POINT (541088.4382872528 188307.70869184477)
E02000769,Redbridge 019,POINT (547250.723436612 188403.81704710986)
E02000770,Redbridge 020,POINT (545387.0162837218 188109.87994615085)
E02000772,Redbridge 022,POINT (546449.0428486735 188125.27388236817)
E02000773,Redbridge 023,POINT (544402.7411488782 187655.0342034106)
E02000774,Redbridge 024,POINT (545631.0727470706 187559.49798174136)
E02000776,Redbridge 026,POINT (543971.6438826657 187196.4787762335)
E02000777,Redbridge 027,POINT (540939.7133624522 186865.60507829848)
E02000779,Redbridge 029,POINT (543171.4785743506 186744.93516611418)
E02000780,Redbridge 030,POINT (544378.5498535589 186286.24991020103)
E02000781,Redbridge 031,POINT (545484.5923579445 186007.30157060537)
E02000782,Redbridge 032,POINT (543686.6872450426 185715.3970733763)
E02000783,Redbridge 033,POINT (544268.3230734781 185218.02424332983)
E02000784,Richmond upon Thames 001,POINT (522498.99752672744 177097.4050849874)
E02000785,Richmond upon Thames 002,POINT (518270.54159267776 176342.2918068777)
E02000786,Richmond upon Thames 003,POINT (521650.87094825564 175893.90268625796)
E02000787,Richmond upon Thames 004,POINT (519379.6629352086 175969.30876714145)
E02000788,Richmond upon Thames 005,POINT (520494.0186255022 175334.2488616304)
E02000789,Richmond upon Thames 006,POINT (519043.6948006422 174485.81019817016)
E02000790,Richmond upon Thames 007,POINT (516713.81785085925 174638.28481302175)
E02000791,Richmond upon Thames 008,POINT (518089.698799255 174526.765046314)
E02000792,Richmond upon Thames 009,POINT (517255.82049883105 173959.58316618757)
E02000793,Richmond upon Thames 010,POINT (514133.3756266635 174056.7327768257)
E02000794,Richmond upon Thames 011,POINT (515538.63946896326 173919.9930816776)
E02000795,Richmond upon Thames 012,POINT (519706.69696799066 172838.19587750497)
E02000796,Richmond upon Thames 013,POINT (513242.7736302556 173404.61200918624)
E02000797,Richmond upon Thames 014,POINT (515972.63681950833 173286.58471340255)
E02000798,Richmond upon Thames 015,POINT (514183.083475252 172436.8210342057)
E02000799,Richmond upon Thames 016,POINT (515552.8008425003 172386.56890430895)
E02000800,Richmond upon Thames 017,POINT (516881.92533716426 172331.09060009153)
E02000801,Richmond upon Thames 018,POINT (515687.83327975817 171601.37431345883)
E02000802,Richmond upon Thames 019,POINT (514526.52751314396 171080.72422012172)
E02000803,Richmond upon Thames 020,POINT (513073.9885401445 171127.67169906927)
E02000804,Richmond upon Thames 021,POINT (515822.3757405842 170124.96599188825)
E02000805,Richmond upon Thames 022,POINT (517238.06782886246 169978.3592105119)
E02000806,Richmond upon Thames 023,POINT (514835.34722964524 169122.0089077608)
E02000807,Southwark 001,POINT (535953.3036858538 180091.58554339397)
E02000808,Southwark 002,POINT (532166.4468850814 180073.99283431206)
E02000809,Southwark 003,POINT (533455.1507191601 179816.4567492001)
E02000810,Southwark 004,POINT (534149.4284873984 179375.1490216744)
E02000812,Southwark 006,POINT (532997.7740941605 179405.3316290154)
E02000813,Southwark 007,POINT (535309.4393117183 179331.35792039396)
E02000814,Southwark 008,POINT (536247.3156231456 179394.72842255142)
E02000815,Southwark 009,POINT (532314.5158772835 179190.45284586342)
E02000816,Southwark 010,POINT (534425.2469697535 178622.87271347095)
E02000817,Southwark 011,POINT (535059.2449602088 178639.8237339987)
E02000818,Southwark 012,POINT (532547.2243350269 178582.94238403026)
E02000819,Southwark 013,POINT (533785.8024688923 178542.45537845168)
E02000820,Southwark 014,POINT (531832.7133399327 178237.86108075004)
E02000821,Southwark 015,POINT (533470.2736341899 178094.32215374)
E02000822,Southwark 016,POINT (532818.2449348513 178066.53396507655)
E02000823,Southwark 017,POINT (532326.1217826082 177680.60115213905)
E02000824,Southwark 018,POINT (534549.0001476662 177638.73819853435)
E02000825,Southwark 019,POINT (533573.5896069164 177226.64781149855)
E02000826,Southwark 020,POINT (532971.2149469074 177071.0915223574)
E02000827,Southwark 021,POINT (532270.7510950745 176953.48301640784)
E02000828,Southwark 022,POINT (534321.849530893 176843.52291987796)
E02000829,Southwark 023,POINT (534994.402836912 176761.0341587762)
E02000830,Southwark 024,POINT (533207.3372700546 176207.649926717)
E02000831,Southwark 025,POINT (534025.6383628143 176108.57798576952)
E02000832,Southwark 026,POINT (534945.9746096691 175819.41043379414)
E02000833,Southwark 027,POINT (533033.1954047328 175379.34952981648)
E02000834,Southwark 028,POINT (534319.9189732671 175069.29146975093)
E02000835,Southwark 029,POINT (535501.8502377959 174841.24853528306)
E02000836,Southwark 030,POINT (533643.1971357872 174621.16120235572)
E02000837,Southwark 031,POINT (532970.397725673 173960.16227074986)
E02000838,Southwark 032,POINT (534404.6560241339 173921.34633554667)
E02000839,Southwark 033,POINT (533648.6328982415 172352.9183718218)
E02000840,Sutton 001,POINT (527484.9823891976 166913.7382258435)
E02000841,Sutton 002,POINT (526331.0305236531 166442.27180251342)
E02000842,Sutton 003,POINT (524755.404585271 166084.67252795742)
E02000843,Sutton 004,POINT (528135.2348296142 165926.20157887117)
E02000844,Sutton 005,POINT (527361.0414692793 165781.8574213476)
E02000845,Sutton 006,POINT (522708.35506755265 165983.5870978022)
E02000846,Sutton 007,POINT (525892.6535751338 165686.09720330054)
E02000847,Sutton 008,POINT (523223.453057261 165448.6770799413)
E02000848,Sutton 009,POINT (524070.3599340031 165018.31972613523)
E02000849,Sutton 010,POINT (528808.9659507475 164945.51040710718)
E02000850,Sutton 011,POINT (529698.8588347042 165792.54925938373)
E02000851,Sutton 012,POINT (526018.7064861406 164633.0210988961)
E02000852,Sutton 013,POINT (526793.2164333783 164718.7226578774)
E02000853,Sutton 014,POINT (524988.0274581538 164606.05763912734)
E02000854,Sutton 015,POINT (527658.7135987054 164347.92992634096)
E02000855,Sutton 016,POINT (524136.26129817276 163698.20345939294)
E02000856,Sutton 017,POINT (529207.9104338076 163695.32584847292)
E02000857,Sutton 018,POINT (525550.5458499542 163608.16463040045)
