MSOA11CD,MSOA11NM,geometry
E02000104,Brent 012,POINT (518491.0033723263 186231.9959314556)
E02000105,Brent 013,POINT (517044.2860243706 185874.19825976985)
E02000106,Brent 014,POINT (521367.20046694565 185741.60056646942)
E02000107,Brent 015,POINT (523476.8422821538 185579.70776797828)
E02000108,Brent 016,POINT (516206.5643059563 185582.7865711621)
E02000109,Brent 017,POINT (519535.67880562437 185521.9850541292)
E02000110,Brent 018,POINT (522687.7167112522 185288.84236803147)
E02000111,Brent 019,POINT (517632.94886634924 184997.32397240849)
E02000112,Brent 020,POINT (518994.6814661867 184864.25603855253)
E02000113,Brent 021,POINT (520618.90727192 184950.02580865982)
E02000114,Brent 022,POINT (522920.4242695807 184585.86313422208)
E02000115,Brent 023,POINT (524052.73914354824 184647.6988003423)
E02000116,Brent 024,POINT (522308.415231394 184323.29274587537)
E02000117,Brent 025,POINT (521454.76624375925 184324.77759545753)
E02000118,Brent 026,POINT (518748.5366501805 184135.06869496588)
E02000119,Brent 027,POINT (520089.81301553815 183435.2818289448)
E02000120,Brent 028,POINT (524908.404152823 183896.79371986608)
E02000121,Brent 029,POINT (517974.71858743834 183750.70927302234)
E02000122,Brent 030,POINT (523507.50592976686 183925.8316129288)
E02000123,Brent 031,POINT (521766.81940807827 183391.83859978715)
E02000124,Brent 032,POINT (524171.37567775795 183322.34359221006)
E02000125,Brent 033,POINT (522933.8048063244 183203.07852988696)
E02000126,Brent 034,POINT (525171.4313865716 183118.70338859846)
E02000127,Bromley 001,POINT (541919.0078669235 172435.28107840504)
E02000128,Bromley 002,POINT (544232.3408345542 171416.1630398606)
E02000130,Bromley 004,POINT (535926.8869280309 170683.39290665358)
E02000131,Bromley 005,POINT (534344.3720709665 170694.22896549437)
E02000132,Bromley 006,POINT (537164.5901905638 170313.62898772582)
E02000133,Bromley 007,POINT (543264.1141207634 169902.21669682453)
E02000134,Bromley 008,POINT (540465.9322197568 170058.88711735734)
E02000135,Bromley 009,POINT (534848.4020314434 169849.71815176666)
E02000136,Bromley 010,POINT (545446.909234424 169711.4277352593)
E02000137,Bromley 011,POINT (539003.7547694725 169491.45162772597)
E02000138,Bromley 012,POINT (537937.3315544504 169329.89578634896)
E02000139,Bromley 013,POINT (536196.6712988502 169577.07597283114)
E02000140,Bromley 014,POINT (546774.6597652045 169414.48123187476)
E02000141,Bromley 015,POINT (535176.3339598955 169137.65113687218)
E02000142,Bromley 016,POINT (541532.8755003674 169279.18309768575)
E02000144,Bromley 018,POINT (540227.0829821873 168607.9466365141)
E02000145,Bromley 019,POINT (548661.2810678306 168148.73991764346)
E02000146,Bromley 020,POINT (541542.332655623 168081.02218451235)
E02000147,Bromley 021,POINT (539016.6917676632 168012.75963689148)
E02000148,Bromley 022,POINT (543508.5749772057 167951.57968669164)
E02000149,Bromley 023,POINT (546404.6095828858 167822.0182228163)
E02000150,Bromley 024,POINT (537255.3141958343 167440.01358620447)
E02000151,Bromley 025,POINT (544765.2266319405 167289.38557959202)
E02000152,Bromley 026,POINT (542628.0615769298 166982.9662308758)
E02000153,Bromley 027,POINT (540116.9901035685 166903.47612756112)
E02000154,Bromley 028,POINT (545894.3891538499 166567.26710930344)
E02000155,Bromley 029,POINT (547213.233945854 166496.0825732295)
E02000156,Bromley 030,POINT (538386.3883202634 166045.64691033433)
E02000157,Bromley 031,POINT (544507.4372996403 165829.01507127663)
E02000158,Bromley 032,POINT (547274.9465067709 165451.34945968704)
E02000159,Bromley 033,POINT (542235.1321710497 164793.2403472319)
E02000160,Bromley 034,POINT (540100.9329907866 164867.36195047546)
E02000161,Bromley 035,POINT (545832.7632016178 164818.51769376977)
E02000162,Bromley 036,POINT (544372.2189321477 162660.1767584781)
E02000163,Bromley 037,POINT (547432.7057790186 163305.41449170667)
E02000165,Bromley 039,POINT (540757.6068449992 159154.49080247863)
E02000166,Camden 001,POINT (527912.7257592105 186726.4369788857)
E02000167,Camden 002,POINT (526612.6941623382 186335.34393717442)
E02000168,Camden 003,POINT (528884.7470734323 185690.04533483437)
E02000169,Camden 004,POINT (525825.2916066513 185771.05178196437)
E02000170,Camden 005,POINT (524797.8184595456 185450.56131175347)
E02000171,Camden 006,POINT (527754.0227127922 185353.54408524363)
E02000172,Camden 007,POINT (528505.6671943424 185068.69205972448)
E02000173,Camden 008,POINT (526757.6400683214 185085.62770801323)
E02000174,Camden 009,POINT (529332.504158713 184940.83237242256)
E02000175,Camden 010,POINT (525575.1212735777 184916.50947009082)
E02000176,Camden 011,POINT (527089.7110089866 184765.4050814222)
E02000177,Camden 012,POINT (528137.3125466543 184603.29818131457)
E02000178,Camden 013,POINT (524926.1178421815 184635.24333717272)
E02000179,Camden 014,POINT (527373.2296678552 184462.0739066352)
E02000180,Camden 015,POINT (529675.7221169736 184479.31532799645)
E02000181,Camden 016,POINT (525803.5111624204 184326.60886658862)
E02000182,Camden 017,POINT (526923.5225881205 184047.21938785692)
E02000183,Camden 018,POINT (528206.1667205861 183999.3271026299)
E02000184,Camden 019,POINT (529358.079471529 183919.01855783892)
E02000185,Camden 020,POINT (525770.0132083202 183785.11544339138)
E02000186,Camden 021,POINT (528792.8389923837 183203.7711776055)
E02000187,Camden 022,POINT (529890.1274677844 183329.50525370086)
E02000188,Camden 023,POINT (529192.7675995382 182752.29481016842)
E02000189,Camden 024,POINT (530621.8781312716 182671.1179586406)
E02000190,Camden 025,POINT (530235.0165155159 182475.97749693182)
E02000191,Camden 026,POINT (529550.4248439525 182038.35762327662)
E02000192,Camden 027,POINT (531012.4881695712 181974.94521768842)
E02000193,Camden 028,POINT (530367.1495702907 181625.48305816637)
E02000194,Croydon 001,POINT (533140.7697840672 170249.5299978642)
E02000195,Croydon 002,POINT (531870.3069001042 170263.27874297614)
E02000196,Croydon 003,POINT (531169.2084267276 169564.0685616367)
E02000197,Croydon 004,POINT (530505.2649743087 169151.92110352742)
E02000198,Croydon 005,POINT (532346.0437385902 169161.7357472153)
