MSOA11CD,Nearest_Library_ID,Distance_to_Library
E02000240,98,549.9713053
E02000241,98,293.4029814
E02000242,97,683.0926345
E02000243,95,1152.569741
E02000244,97,534.7323051
E02000245,96,55.10193175
E02000246,96,1152.758402
E02000247,96,1176.109184
E02000248,94,1507.821787
E02000249,95,172.5074781
E02000250,94,323.2533758
E02000251,93,699.9717108
E02000252,37,1751.420421
E02000253,95,1366.952283
E02000254,93,393.3313069
E02000255,94,925.2885442
E02000256,94,929.1678402
E02000257,92,720.8640202
E02000258,89,1317.107093
E02000259,91,1055.181792
E02000260,93,972.5699336
E02000261,89,1055.732873
E02000262,89,459.1793223
E02000263,34,942.0608516
E02000264,92,1116.127114
E02000265,90,179.1701852
E02000266,88,1514.179944
E02000267,91,383.5879095
E02000268,92,745.8006255
E02000269,87,729.5375388
E02000270,89,600.7896129
E02000271,89,763.3399054
E02000272,90,1092.941169
E02000274,34,777.3150382
E02000275,88,658.1646746
E02000276,87,255.9217618
E02000277,115,728.740053
E02000278,116,185.5929951
E02000279,114,646.3500331
E02000280,112,3314.934384
E02000281,116,1564.653728
E02000282,113,665.6275296
E02000283,113,755.768101
E02000284,112,890.3900183
E02000285,112,1171.52131
E02000286,112,1495.816263
E02000287,20,2244.515539
E02000288,110,814.4288811
E02000289,111,1034.528137
E02000290,110,1605.399228
E02000291,109,623.5934366
E02000292,109,192.5835135
E02000293,112,1014.218291
E02000294,110,998.4439204
E02000295,111,1143.803438
E02000296,111,820.6242289
E02000297,108,29.42967493
E02000298,106,817.5199932
E02000299,105,989.4224271
E02000300,105,1090.129123
E02000301,105,1461.65914
E02000302,106,472.6307995
E02000303,105,955.5963209
E02000304,107,776.811088
E02000305,103,827.1766851
E02000306,105,806.8510942
E02000307,104,528.7089567
E02000308,102,355.6839805
E02000309,101,526.9284218
E02000311,103,938.6007775
E02000312,103,474.6410783
E02000313,130,587.7182491
E02000314,130,1068.758803
E02000315,129,102.5728904
E02000316,128,1045.068769
E02000317,128,1100.534481
E02000318,127,310.1220537
E02000319,127,1019.22049
E02000320,129,1073.743552
E02000321,128,784.1721659
E02000323,128,585.2946382
E02000324,125,273.7832492
E02000326,123,643.6431762
E02000327,128,1221.123243
E02000328,126,598.7726874
E02000329,117,794.605255
E02000331,125,587.3806486
E02000332,131,1443.505188
E02000333,123,689.5474446
E02000334,125,1282.783954
E02000335,121,1289.834417
E02000337,121,1495.955464
E02000339,121,571.2307881
E02000340,121,480.379081
E02000341,119,1301.308025
E02000342,120,869.9063828
E02000343,119,610.5188684
E02000344,118,588.8211008
E02000345,140,465.2522029
E02000346,139,183.8072729
E02000347,139,551.3595921
E02000348,140,279.6083838
E02000350,137,646.7205941
E02000351,138,356.3400158
E02000352,136,337.5040338
E02000353,136,395.479919
E02000354,137,639.0741028
E02000355,137,803.1260991
E02000356,136,649.1095213
E02000357,135,1044.283362
E02000358,136,858.2969996
E02000359,135,426.601961
E02000360,134,818.2645432
E02000361,133,401.8865921
E02000362,135,869.6844362
E02000363,135,494.9523376
E02000364,134,396.1584016
E02000365,134,368.2812046
E02000366,133,812.6646958
E02000367,133,601.4569627
E02000368,132,989.7856215
E02000369,132,679.6011607
E02000370,202,842.6822768
E02000371,132,350.2654543
E02000372,37,1956.378867
E02000373,146,1012.198752
E02000374,145,761.2995745
E02000375,146,212.1619853
E02000376,146,473.2369649
E02000377,145,116.1710974
E02000378,146,536.2065735
E02000379,145,454.0530972
E02000380,144,756.7688686
E02000381,144,446.554453
E02000382,145,1020.289246
E02000383,143,406.4342254
E02000384,144,370.5756408
E02000385,143,616.5724936
E02000386,143,541.6513583
E02000387,143,1046.47903
E02000388,142,736.308413
E02000389,288,1030.197257
E02000390,142,733.9822551
E02000391,142,567.0747408
E02000392,142,139.9993455
E02000393,142,818.8005224
E02000394,141,909.4336495
E02000395,142,915.3366102
E02000396,141,200.7832461
E02000397,103,1193.079412
E02000398,154,860.6940952
E02000400,351,510.8156033
E02000401,104,1506.710907
E02000402,154,914.5321801
E02000403,152,900.4441049
E02000404,152,910.6183609
E02000405,153,335.7044059
E02000406,152,562.4207606
E02000407,150,828.9588009
E02000408,154,890.849446
E02000409,150,1234.399636
E02000410,151,520.7883139
E02000411,150,1214.638029
E02000412,152,236.8403905
E02000413,10,770.7373822
E02000414,150,591.7314689
E02000415,152,1070.927413
E02000416,152,1076.90928
E02000417,151,448.479903
E02000418,151,975.5868408
E02000419,147,969.2156514
E02000420,150,504.5690099
E02000421,150,432.5792558
E02000422,149,403.8583459
E02000423,147,870.1608953
E02000424,148,583.0358276
E02000425,149,944.5630811
E02000426,155,892.672597
E02000427,147,367.2144753
E02000428,149,429.3263617
E02000429,155,758.1554676
E02000430,148,139.9876442
E02000431,155,448.4636936
E02000432,147,577.1744045
E02000433,160,1072.268455
E02000434,160,1295.540402
E02000435,160,1042.141743
E02000436,159,3120.051996
E02000437,159,1554.458906
E02000438,157,1981.971277
E02000439,14,1292.462109
E02000440,158,1431.574669
E02000441,186,990.3799097
E02000442,14,1756.90976
E02000443,159,766.8077056
E02000444,158,826.7559921
E02000445,159,303.2151408
E02000447,157,1568.379867
E02000448,157,441.0878806
E02000449,158,1200.824713
E02000451,157,757.318199
E02000452,159,695.6724105
E02000453,161,1233.135103
E02000454,157,981.5251823
E02000455,161,370.6060917
E02000456,161,1250.57076
E02000457,157,1693.990431
E02000459,156,752.6960427
E02000460,156,1086.576301
E02000461,161,1279.696542
E02000462,156,372.0660377
E02000463,156,1347.459678
E02000464,171,1279.057656
E02000465,169,1521.004628
E02000466,170,2262.194178
E02000467,171,390.5845202
E02000468,170,1502.112891
E02000469,171,1364.705123
E02000470,169,858.5358258
E02000471,170,1560.01711
E02000472,170,871.4199381
E02000473,169,1282.441534
E02000474,170,1378.347141
E02000475,167,693.9674999
E02000476,168,221.1536846
E02000477,167,694.7399602
E02000478,166,1073.654265
E02000479,168,1182.688657
E02000480,4,1339.755735
E02000481,165,3040.755337
E02000482,165,1250.99798
E02000483,166,348.5258844
E02000484,164,1044.908253
E02000485,165,930.4004904
E02000486,164,627.7233667
E02000487,165,1691.43782
E02000488,164,1191.725929
E02000489,164,1087.251565
E02000490,163,647.313518
E02000491,163,1176.290081
E02000492,162,1385.925475
E02000493,162,489.0378684
E02000494,188,1180.417663
E02000495,186,865.0464467
E02000496,187,702.3442036
E02000497,186,1335.92291
E02000498,184,1248.248371
E02000499,185,277.1932174
E02000500,184,457.9165882
E02000501,183,709.0760734
E02000502,182,1050.796307
E02000503,183,912.2275815
E02000504,182,630.0143891
E02000506,182,1750.041836
E02000507,179,1034.293779
E02000508,180,611.9034393
E02000509,180,888.8451122
E02000510,179,1138.18383
E02000511,178,249.9156924
E02000512,177,889.0587001
E02000513,176,933.1488845
E02000514,176,753.7928809
E02000515,175,782.1443392
E02000516,176,1057.71639
E02000517,177,688.9834989
E02000518,175,992.8003517
E02000519,176,588.0875267
E02000520,174,516.8176492
E02000521,172,1224.532311
E02000522,173,382.1414635
E02000523,172,776.6228359
E02000524,172,3098.734645
E02000525,172,1500.663298
E02000526,199,625.5061523
E02000528,198,1001.716985
