,MSOA11CD,count_sin,sum,count_sdep,sdep/sum,sdep/sin,library_name_sum,filtered_library_name_sum,keyword_frequency_sum,Total annual income,POPDEN
101,E02000105,218.0,3109.0,26.0,0.836281763,11.9266055,7.0,3.0,10.0,54500.0,67.2
102,E02000106,380.0,3591.0,60.0,1.670843776,15.78947368,4.0,0.0,0.0,45800.0,76.2
103,E02000107,317.0,4361.0,56.0,1.284109149,17.66561514,5.0,1.0,1.0,55000.0,112.0
104,E02000108,151.0,2272.0,13.0,0.572183099,8.609271523,5.0,2.0,7.0,56200.0,81.0
105,E02000110,167.0,3093.0,26.0,0.840607824,15.56886228,5.0,1.0,1.0,56700.0,101.2
106,E02000111,188.0,3189.0,27.0,0.846660395,14.36170213,5.0,2.0,9.0,51900.0,86.7
107,E02000112,223.0,3499.0,41.0,1.171763361,18.38565022,5.0,2.0,9.0,54200.0,74.3
108,E02000113,502.0,3291.0,84.0,2.552415679,16.73306773,5.0,0.0,0.0,42000.0,65.1
109,E02000114,287.0,3706.0,43.0,1.160280626,14.9825784,6.0,1.0,1.0,52800.0,146.9
110,E02000115,205.0,3875.0,32.0,0.825806452,15.6097561,7.0,2.0,5.0,57100.0,98.3
111,E02000116,474.0,3239.0,68.0,2.099413399,14.34599156,5.0,1.0,4.0,47100.0,74.4
112,E02000117,674.0,4759.0,98.0,2.059256146,14.54005935,3.0,0.0,0.0,41900.0,135.0
113,E02000118,165.0,3155.0,30.0,0.950871632,18.18181818,6.0,2.0,9.0,52000.0,76.4
114,E02000119,608.0,3950.0,83.0,2.101265823,13.65131579,5.0,0.0,0.0,45200.0,28.2
115,E02000120,254.0,4242.0,23.0,0.542197077,9.05511811,12.0,4.0,10.0,57400.0,182.1
116,E02000121,258.0,3626.0,43.0,1.185879757,16.66666667,5.0,1.0,6.0,51700.0,64.0
117,E02000122,210.0,3159.0,29.0,0.918012029,13.80952381,8.0,2.0,6.0,61500.0,67.2
118,E02000123,777.0,5540.0,108.0,1.949458484,13.8996139,3.0,1.0,4.0,43100.0,142.2
119,E02000124,310.0,4167.0,38.0,0.911927046,12.25806452,10.0,3.0,8.0,62400.0,93.2
120,E02000125,277.0,3942.0,31.0,0.786402841,11.19133574,6.0,3.0,8.0,60400.0,141.2
121,E02000126,334.0,3404.0,60.0,1.762632197,17.96407186,14.0,6.0,15.0,46500.0,177.6
122,E02000127,475.0,3786.0,83.0,2.192287375,17.47368421,10.0,1.0,1.0,47400.0,38.1
123,E02000128,217.0,3061.0,26.0,0.849395622,11.98156682,5.0,0.0,0.0,60500.0,28.8
124,E02000130,268.0,3666.0,26.0,0.709219858,9.701492537,6.0,2.0,7.0,62700.0,53.3
125,E02000131,527.0,5069.0,107.0,2.110869994,20.30360531,6.0,2.0,7.0,60700.0,50.7
126,E02000132,335.0,4943.0,30.0,0.606918875,8.955223881,5.0,1.0,2.0,63800.0,49.3
127,E02000133,185.0,4330.0,25.0,0.577367206,13.51351351,11.0,1.0,2.0,72400.0,16.1
128,E02000134,439.0,5300.0,43.0,0.811320755,9.79498861,5.0,0.0,0.0,60000.0,55.7
129,E02000135,622.0,4442.0,104.0,2.341287708,16.72025723,7.0,2.0,7.0,47700.0,84.1
130,E02000136,161.0,2301.0,30.0,1.303780965,18.63354037,6.0,1.0,2.0,52000.0,12.6
131,E02000137,185.0,3674.0,9.0,0.244964616,4.864864865,5.0,0.0,0.0,67000.0,42.0
132,E02000138,148.0,4140.0,9.0,0.217391304,6.081081081,6.0,1.0,2.0,68600.0,38.1
133,E02000139,194.0,3307.0,26.0,0.786211067,13.40206186,5.0,2.0,3.0,67600.0,47.4
134,E02000140,453.0,3340.0,65.0,1.946107784,14.34878587,2.0,0.0,0.0,45000.0,42.6
135,E02000141,256.0,3092.0,34.0,1.099611902,13.28125,6.0,2.0,3.0,60000.0,74.4
136,E02000142,197.0,3449.0,12.0,0.347926935,6.091370558,5.0,0.0,0.0,68300.0,46.6
137,E02000144,225.0,4311.0,30.0,0.695894224,13.33333333,5.0,0.0,0.0,69600.0,43.7
138,E02000145,482.0,3514.0,74.0,2.105862265,15.3526971,3.0,0.0,0.0,46600.0,7.2
139,E02000146,236.0,4042.0,20.0,0.494804552,8.474576271,5.0,1.0,2.0,66100.0,46.2
140,E02000147,118.0,3165.0,13.0,0.410742496,11.01694915,5.0,1.0,1.0,66700.0,35.4
141,E02000148,134.0,2699.0,16.0,0.592812153,11.94029851,4.0,1.0,2.0,65100.0,23.5
142,E02000149,257.0,3280.0,40.0,1.219512195,15.56420233,3.0,1.0,2.0,51400.0,41.0
143,E02000150,194.0,3115.0,20.0,0.642054575,10.30927835,6.0,4.0,5.0,67000.0,27.1
144,E02000151,90.0,2969.0,9.0,0.303132368,10,4.0,1.0,2.0,70600.0,36.0
145,E02000152,346.0,3093.0,53.0,1.713546718,15.31791908,4.0,1.0,2.0,52500.0,25.5
146,E02000153,108.0,2895.0,17.0,0.587219344,15.74074074,5.0,1.0,1.0,69600.0,34.5
147,E02000154,187.0,3573.0,28.0,0.783655192,14.97326203,3.0,1.0,2.0,60600.0,38.1
148,E02000155,141.0,3040.0,18.0,0.592105263,12.76595745,2.0,0.0,0.0,52400.0,38.0
149,E02000156,217.0,4859.0,16.0,0.329285861,7.373271889,4.0,2.0,2.0,65200.0,31.5
150,E02000157,142.0,3279.0,15.0,0.457456542,10.56338028,3.0,1.0,2.0,71300.0,32.5
151,E02000158,243.0,3033.0,39.0,1.285855589,16.04938272,1.0,0.0,0.0,55400.0,34.1
152,E02000159,137.0,2821.0,21.0,0.744416873,15.32846715,3.0,1.0,2.0,61600.0,11.6
153,E02000160,144.0,3045.0,16.0,0.52545156,11.11111111,4.0,1.0,1.0,65000.0,9.3
154,E02000161,140.0,3345.0,12.0,0.358744395,8.571428571,1.0,0.0,0.0,67800.0,48.9
155,E02000162,193.0,2964.0,36.0,1.214574899,18.65284974,1.0,0.0,0.0,51000.0,5.2
156,E02000163,135.0,3069.0,17.0,0.55392636,12.59259259,1.0,0.0,0.0,60000.0,6.8
157,E02000165,156.0,2742.0,15.0,0.547045952,9.615384615,2.0,0.0,0.0,58600.0,12.4
158,E02000166,254.0,3396.0,56.0,1.648998822,22.04724409,16.0,7.0,38.0,60700.0,26.2
159,E02000167,119.0,3370.0,4.0,0.118694362,3.361344538,11.0,5.0,33.0,88400.0,38.2
160,E02000168,207.0,3494.0,37.0,1.058958214,17.87439614,14.0,5.0,28.0,70600.0,120.1
161,E02000169,155.0,3032.0,22.0,0.725593668,14.19354839,10.0,5.0,25.0,87100.0,68.0
162,E02000170,156.0,3466.0,17.0,0.490478938,10.8974359,9.0,2.0,18.0,72300.0,108.1
163,E02000171,187.0,3329.0,29.0,0.871132472,15.50802139,12.0,4.0,24.0,73100.0,149.9
164,E02000172,410.0,4033.0,75.0,1.859657823,18.29268293,16.0,5.0,28.0,52200.0,151.7
165,E02000173,129.0,3503.0,20.0,0.570939195,15.50387597,11.0,5.0,25.0,83500.0,98.6
166,E02000174,318.0,3554.0,65.0,1.828925155,20.44025157,17.0,6.0,35.0,57100.0,159.7
167,E02000175,215.0,4308.0,42.0,0.974930362,19.53488372,11.0,5.0,25.0,73300.0,127.9
168,E02000176,102.0,3002.0,7.0,0.233177881,6.862745098,9.0,4.0,24.0,88600.0,160.2
169,E02000177,314.0,3652.0,52.0,1.423877327,16.56050955,13.0,5.0,28.0,52500.0,170.9
170,E02000178,296.0,4165.0,43.0,1.032412965,14.52702703,11.0,4.0,10.0,58500.0,157.7
171,E02000179,162.0,2551.0,20.0,0.784006272,12.34567901,10.0,4.0,24.0,64100.0,165.5
172,E02000180,239.0,3519.0,30.0,0.852514919,12.55230126,17.0,6.0,20.0,58300.0,169.0
173,E02000181,154.0,3754.0,22.0,0.586041556,14.28571429,10.0,5.0,25.0,88700.0,142.5
174,E02000182,208.0,3082.0,28.0,0.908500973,13.46153846,15.0,6.0,27.0,66700.0,83.9
175,E02000183,184.0,3618.0,38.0,1.050304035,20.65217391,19.0,8.0,44.0,65100.0,102.5
176,E02000184,293.0,3631.0,70.0,1.927843569,23.89078498,19.0,8.0,46.0,51300.0,133.6
177,E02000185,379.0,4068.0,67.0,1.647000983,17.67810026,15.0,7.0,32.0,48100.0,175.6
178,E02000186,156.0,2942.0,27.0,0.917743032,17.30769231,25.0,11.0,43.0,62700.0,66.7
179,E02000187,419.0,3817.0,72.0,1.88629814,17.18377088,21.0,8.0,37.0,46600.0,84.2
180,E02000188,248.0,2720.0,46.0,1.691176471,18.5483871,22.0,11.0,43.0,46800.0,163.9
181,E02000191,63.0,2101.0,8.0,0.380771061,12.6984127,18.0,9.0,89.0,60000.0,116.8
182,E02000192,194.0,3089.0,35.0,1.133052768,18.04123711,20.0,11.0,105.0,54100.0,165.5
183,E02000193,117.0,3101.0,20.0,0.644953241,17.09401709,21.0,11.0,104.0,55000.0,70.1
184,E02000194,401.0,4201.0,51.0,1.213996667,12.71820449,7.0,3.0,9.0,58000.0,62.5
185,E02000195,257.0,3492.0,41.0,1.174112257,15.95330739,8.0,2.0,7.0,59500.0,47.3
186,E02000196,277.0,2817.0,39.0,1.384451544,14.07942238,6.0,2.0,3.0,53800.0,60.4
187,E02000197,326.0,3320.0,43.0,1.295180723,13.19018405,5.0,1.0,1.0,54100.0,91.6
188,E02000198,490.0,3502.0,70.0,1.998857796,14.28571429,6.0,1.0,1.0,50700.0,90.5
189,E02000199,329.0,3206.0,39.0,1.21646912,11.85410334,5.0,1.0,1.0,56800.0,97.7
190,E02000200,399.0,4001.0,52.0,1.299675081,13.03258145,5.0,2.0,3.0,55400.0,66.5
191,E02000201,528.0,3819.0,64.0,1.675831369,12.12121212,5.0,2.0,3.0,45900.0,96.4
192,E02000202,279.0,3035.0,37.0,1.219110379,13.26164875,5.0,1.0,1.0,53500.0,116.3
193,E02000203,360.0,3119.0,52.0,1.667201026,14.44444444,5.0,1.0,1.0,46200.0,97.5
194,E02000204,315.0,3227.0,34.0,1.053610164,10.79365079,4.0,1.0,1.0,51500.0,86.6
195,E02000206,665.0,4464.0,72.0,1.612903226,10.82706767,6.0,3.0,4.0,46800.0,65.3
196,E02000207,469.0,3562.0,74.0,2.077484559,15.7782516,4.0,2.0,2.0,48800.0,72.5
197,E02000208,669.0,4096.0,91.0,2.221679688,13.60239163,6.0,2.0,3.0,45100.0,111.8
198,E02000209,364.0,3069.0,42.0,1.368523949,11.53846154,4.0,1.0,1.0,51200.0,83.9
199,E02000210,351.0,3445.0,39.0,1.132075472,11.11111111,5.0,3.0,4.0,58500.0,107.2
200,E02000211,190.0,3293.0,27.0,0.819921045,14.21052632,5.0,3.0,3.0,61700.0,47.7
201,E02000212,440.0,3261.0,71.0,2.177246243,16.13636364,4.0,2.0,3.0,45900.0,68.7
202,E02000213,681.0,5390.0,105.0,1.948051948,15.4185022,4.0,2.0,3.0,46000.0,92.6
203,E02000214,122.0,2325.0,13.0,0.559139785,10.6557377,4.0,3.0,4.0,64300.0,60.5
204,E02000215,465.0,5257.0,70.0,1.331557923,15.05376344,5.0,3.0,4.0,53000.0,106.6
205,E02000216,135.0,2945.0,16.0,0.543293718,11.85185185,3.0,3.0,4.0,63900.0,30.8
206,E02000217,584.0,5021.0,65.0,1.294562836,11.13013699,4.0,2.0,3.0,50700.0,67.7
207,E02000218,351.0,2349.0,74.0,3.150276713,21.08262108,3.0,3.0,3.0,51300.0,58.3
208,E02000219,117.0,2984.0,16.0,0.536193029,13.67521368,5.0,4.0,4.0,62700.0,13.5
209,E02000221,528.0,3988.0,83.0,2.081243731,15.71969697,6.0,4.0,6.0,49600.0,35.0
210,E02000222,296.0,3637.0,34.0,0.934836404,11.48648649,3.0,3.0,4.0,64500.0,42.4
211,E02000223,645.0,2789.0,96.0,3.44209394,14.88372093,2.0,1.0,1.0,38600.0,87.1
212,E02000224,279.0,3273.0,32.0,0.977696303,11.46953405,4.0,3.0,5.0,59800.0,60.0
213,E02000225,333.0,2657.0,51.0,1.919458035,15.31531532,1.0,0.0,0.0,43000.0,46.2
214,E02000226,111.0,2784.0,16.0,0.574712644,14.41441441,3.0,3.0,4.0,64600.0,23.0
215,E02000227,408.0,4839.0,64.0,1.322587311,15.68627451,5.0,4.0,4.0,53200.0,24.8
216,E02000228,97.0,3010.0,10.0,0.332225914,10.30927835,3.0,3.0,4.0,68500.0,24.3
217,E02000229,357.0,2239.0,61.0,2.724430549,17.08683473,1.0,0.0,0.0,40200.0,48.3
218,E02000230,288.0,4232.0,37.0,0.874291115,12.84722222,4.0,3.0,4.0,62000.0,38.4
219,E02000231,113.0,2754.0,7.0,0.254175744,6.194690265,5.0,3.0,4.0,68900.0,22.9
220,E02000232,119.0,2372.0,17.0,0.716694772,14.28571429,3.0,2.0,2.0,57900.0,14.2
221,E02000233,189.0,2399.0,27.0,1.125468945,14.28571429,4.0,4.0,5.0,64200.0,38.7
222,E02000234,334.0,3722.0,37.0,0.994089199,11.07784431,3.0,3.0,4.0,59100.0,25.8
223,E02000235,163.0,2657.0,11.0,0.414000753,6.748466258,5.0,5.0,6.0,64500.0,12.9
224,E02000236,185.0,3307.0,29.0,0.876927729,15.67567568,2.0,2.0,2.0,66900.0,21.4
225,E02000237,149.0,3035.0,19.0,0.626029654,12.75167785,2.0,2.0,2.0,56400.0,15.1
226,E02000238,255.0,3736.0,32.0,0.856531049,12.54901961,6.0,2.0,7.0,58400.0,62.4
227,E02000239,124.0,2927.0,17.0,0.580799453,13.70967742,8.0,2.0,7.0,62600.0,38.2
228,E02000240,490.0,3900.0,49.0,1.256410256,10,6.0,1.0,1.0,50000.0,59.4
229,E02000241,224.0,2603.0,23.0,0.883595851,10.26785714,7.0,1.0,1.0,57600.0,50.9
230,E02000242,107.0,2229.0,7.0,0.314042171,6.542056075,4.0,1.0,6.0,57800.0,76.1
231,E02000243,220.0,3126.0,26.0,0.831733845,11.81818182,9.0,2.0,7.0,54900.0,29.9
232,E02000244,182.0,2939.0,24.0,0.816604287,13.18681319,6.0,2.0,7.0,55600.0,39.9
233,E02000245,494.0,3355.0,76.0,2.265275708,15.38461538,6.0,0.0,0.0,45400.0,49.3
234,E02000246,370.0,3071.0,48.0,1.563008792,12.97297297,7.0,1.0,1.0,49200.0,42.5
235,E02000247,432.0,3887.0,87.0,2.238229997,20.13888889,6.0,1.0,1.0,49200.0,73.7
236,E02000248,213.0,2991.0,31.0,1.036442661,14.55399061,4.0,0.0,0.0,59400.0,42.5
237,E02000249,195.0,2914.0,31.0,1.063829787,15.8974359,8.0,1.0,1.0,51300.0,60.4
238,E02000250,118.0,2541.0,13.0,0.511609603,11.01694915,4.0,0.0,0.0,82700.0,65.0
239,E02000251,130.0,2542.0,26.0,1.02281668,20,5.0,0.0,0.0,57100.0,84.0
240,E02000252,385.0,4412.0,48.0,1.087941976,12.46753247,6.0,0.0,0.0,49400.0,30.4
241,E02000253,419.0,3839.0,60.0,1.562907007,14.31980907,6.0,0.0,0.0,49900.0,83.3
242,E02000254,115.0,2607.0,20.0,0.767165324,17.39130435,6.0,0.0,0.0,50600.0,86.0
243,E02000255,315.0,3796.0,71.0,1.870389884,22.53968254,7.0,0.0,0.0,61200.0,61.1
244,E02000256,216.0,4028.0,28.0,0.695134062,12.96296296,5.0,0.0,0.0,73400.0,80.8
245,E02000258,170.0,2605.0,29.0,1.113243762,17.05882353,3.0,0.0,0.0,57300.0,65.2
246,E02000259,203.0,2394.0,24.0,1.002506266,11.8226601,5.0,0.0,0.0,68100.0,49.1
247,E02000260,138.0,2754.0,17.0,0.617283951,12.31884058,6.0,0.0,0.0,46500.0,80.2
248,E02000261,405.0,4975.0,54.0,1.085427136,13.33333333,5.0,1.0,1.0,55300.0,82.5
249,E02000262,244.0,3950.0,35.0,0.886075949,14.3442623,4.0,1.0,1.0,55900.0,126.2
250,E02000263,191.0,3647.0,40.0,1.096791884,20.94240838,5.0,0.0,0.0,45900.0,94.2
251,E02000264,152.0,3541.0,19.0,0.53657159,12.5,7.0,1.0,1.0,65600.0,56.4
252,E02000265,419.0,4737.0,66.0,1.39328689,15.75178998,5.0,0.0,0.0,58500.0,109.7
253,E02000266,424.0,4296.0,80.0,1.862197393,18.86792453,9.0,0.0,0.0,46500.0,31.9
254,E02000267,291.0,3215.0,38.0,1.181959565,13.05841924,3.0,0.0,0.0,61700.0,91.9
255,E02000268,187.0,3862.0,27.0,0.699119627,14.43850267,7.0,0.0,0.0,65800.0,70.6
256,E02000269,146.0,3303.0,13.0,0.393581592,8.904109589,6.0,0.0,0.0,77400.0,91.3
257,E02000270,324.0,4115.0,51.0,1.239368165,15.74074074,4.0,1.0,1.0,54400.0,101.0
258,E02000271,129.0,2976.0,10.0,0.336021505,7.751937984,4.0,1.0,1.0,83700.0,90.5
259,E02000272,125.0,2542.0,8.0,0.314712825,6.4,6.0,0.0,0.0,71200.0,56.3
