MSOA11CD,sum,count_sdep,calculation,sdep_sum the dep rate,library_name_sum,filtered_library_name_sum,keyword_frequency_sum
E02000219,2984,16,0.536193029,0.536193029,5,4,4
E02000220,,,#DIV/0!,#DIV/0!,3,2,3
E02000221,3988,83,2.081243731,2.081243731,6,4,6
E02000222,3637,34,0.934836404,0.934836404,3,3,4
E02000223,2789,96,3.44209394,3.44209394,2,1,1
E02000224,3273,32,0.977696303,0.977696303,4,3,5
E02000225,2657,51,1.919458035,1.919458035,1,0,0
E02000226,2784,16,0.574712644,0.574712644,3,3,4
E02000227,4839,64,1.322587311,1.322587311,5,4,4
E02000228,3010,10,0.332225914,0.332225914,3,3,4
E02000229,2239,61,2.724430549,2.724430549,1,0,0
E02000230,4232,37,0.874291115,0.874291115,4,3,4
E02000231,2754,7,0.254175744,0.254175744,5,3,4
E02000232,2372,17,0.716694772,0.716694772,3,2,2
E02000233,2399,27,1.125468945,1.125468945,4,4,5
E02000234,3722,37,0.994089199,0.994089199,3,3,4
E02000235,2657,11,0.414000753,0.414000753,5,5,6
E02000236,3307,29,0.876927729,0.876927729,2,2,2
E02000237,3035,19,0.626029654,0.626029654,2,2,2
E02000238,3736,32,0.856531049,0.856531049,6,2,7
E02000239,2927,17,0.580799453,0.580799453,8,2,7
E02000240,3900,49,1.256410256,1.256410256,6,1,1
E02000241,2603,23,0.883595851,0.883595851,7,1,1
E02000242,2229,7,0.314042171,0.314042171,4,1,6
E02000243,3126,26,0.831733845,0.831733845,9,2,7
E02000244,2939,24,0.816604287,0.816604287,6,2,7
E02000245,3355,76,2.265275708,2.265275708,6,0,0
E02000246,3071,48,1.563008792,1.563008792,7,1,1
E02000247,3887,87,2.238229997,2.238229997,6,1,1
E02000248,2991,31,1.036442661,1.036442661,4,0,0
E02000249,2914,31,1.063829787,1.063829787,8,1,1
E02000250,2541,13,0.511609603,0.511609603,4,0,0
E02000251,2542,26,1.02281668,1.02281668,5,0,0
E02000252,4412,48,1.087941976,1.087941976,6,0,0
E02000253,3839,60,1.562907007,1.562907007,6,0,0
E02000254,2607,20,0.767165324,0.767165324,6,0,0
E02000255,3796,71,1.870389884,1.870389884,7,0,0
E02000256,4028,28,0.695134062,0.695134062,5,0,0
E02000257,,,#DIV/0!,#DIV/0!,6,0,0
E02000258,2605,29,1.113243762,1.113243762,3,0,0
E02000259,2394,24,1.002506266,1.002506266,5,0,0
E02000260,2754,17,0.617283951,0.617283951,6,0,0
E02000261,4975,54,1.085427136,1.085427136,5,1,1
E02000262,3950,35,0.886075949,0.886075949,4,1,1
E02000263,3647,40,1.096791884,1.096791884,5,0,0
E02000264,3541,19,0.53657159,0.53657159,7,1,1
E02000265,4737,66,1.39328689,1.39328689,5,0,0
E02000266,4296,80,1.862197393,1.862197393,9,0,0
E02000267,3215,38,1.181959565,1.181959565,3,0,0
E02000268,3862,27,0.699119627,0.699119627,7,0,0
E02000269,3303,13,0.393581592,0.393581592,6,0,0
E02000270,4115,51,1.239368165,1.239368165,4,1,1
E02000271,2976,10,0.336021505,0.336021505,4,1,1
E02000272,2542,8,0.314712825,0.314712825,6,0,0
E02000274,,,#DIV/0!,#DIV/0!,7,1,1
E02000275,2348,21,0.894378194,0.894378194,5,0,0
E02000276,2723,10,0.367242012,0.367242012,5,0,0
E02000277,2627,63,2.398172821,2.398172821,4,0,0
E02000278,3339,88,2.635519617,2.635519617,4,0,0
E02000279,4416,136,3.079710145,3.079710145,4,0,0
E02000280,3413,53,1.552886024,1.552886024,4,0,0
E02000281,3548,75,2.113866967,2.113866967,6,0,0
E02000282,3466,109,3.144835545,3.144835545,6,0,0
E02000283,2799,79,2.822436584,2.822436584,5,0,0
E02000284,3616,38,1.050884956,1.050884956,4,0,0
E02000285,2462,14,0.568643379,0.568643379,6,0,0
E02000286,4004,27,0.674325674,0.674325674,4,0,0
E02000287,2873,18,0.626522798,0.626522798,5,0,0
E02000288,4054,96,2.368031574,2.368031574,7,0,0
E02000289,2420,19,0.785123967,0.785123967,6,0,0
E02000290,2520,67,2.658730159,2.658730159,8,2,14
E02000291,4328,59,1.363216266,1.363216266,6,0,0
E02000292,3568,53,1.485426009,1.485426009,7,0,0
E02000293,2490,6,0.240963855,0.240963855,6,0,0
E02000294,3089,71,2.298478472,2.298478472,7,2,14
E02000295,3350,40,1.194029851,1.194029851,8,0,0
E02000296,4040,33,0.816831683,0.816831683,7,0,0
E02000297,3473,18,0.518283904,0.518283904,7,0,0
E02000298,3060,8,0.261437908,0.261437908,10,0,0
E02000299,3315,65,1.960784314,1.960784314,7,0,0
E02000300,3000,64,2.133333333,2.133333333,9,0,0
E02000301,3723,91,2.444265377,2.444265377,10,3,43
E02000302,3119,32,1.025969862,1.025969862,10,0,0
E02000303,2976,64,2.150537634,2.150537634,8,0,0
E02000304,2912,10,0.343406593,0.343406593,9,0,0
E02000305,3455,25,0.723589001,0.723589001,7,0,0
E02000306,3398,98,2.884049441,2.884049441,7,1,29
E02000307,3342,38,1.137043686,1.137043686,9,0,0
E02000308,3227,30,0.929656027,0.929656027,8,0,0
E02000309,3991,92,2.30518667,2.30518667,7,1,29
E02000311,3634,56,1.541001651,1.541001651,10,1,2
E02000312,4494,25,0.556297285,0.556297285,10,1,2
E02000313,2596,84,3.235747304,3.235747304,4,1,1
E02000314,4534,92,2.029113366,2.029113366,9,2,3
E02000315,3490,82,2.349570201,2.349570201,8,1,1
E02000316,,,#DIV/0!,#DIV/0!,8,2,3
E02000317,2820,69,2.446808511,2.446808511,5,1,2
E02000318,3581,63,1.759285116,1.759285116,8,2,3
E02000319,3918,53,1.352730985,1.352730985,6,2,3
E02000320,2556,46,1.799687011,1.799687011,9,1,1
E02000321,2959,62,2.095302467,2.095302467,5,2,3
E02000323,4820,71,1.473029046,1.473029046,6,2,3
E02000324,2853,49,1.717490361,1.717490361,5,1,2
E02000326,3047,29,0.951755825,0.951755825,4,0,0
E02000327,2636,57,2.162367223,2.162367223,6,1,2
E02000328,2945,23,0.78098472,0.78098472,7,1,2
E02000329,2462,30,1.218521527,1.218521527,6,2,3
E02000331,3191,50,1.566906926,1.566906926,5,1,2
E02000332,3000,36,1.2,1.2,6,2,3
E02000333,2886,18,0.623700624,0.623700624,7,1,8
E02000334,2545,43,1.689587426,1.689587426,6,1,8
E02000335,2592,19,0.733024691,0.733024691,6,0,0
E02000337,3085,60,1.944894652,1.944894652,6,1,8
E02000339,2592,21,0.810185185,0.810185185,3,0,0
E02000340,3019,24,0.79496522,0.79496522,7,0,0
E02000341,2939,81,2.756039469,2.756039469,10,2,9
E02000342,2341,29,1.238786843,1.238786843,7,0,0
E02000343,2695,32,1.187384045,1.187384045,6,0,0
E02000344,2449,20,0.816659861,0.816659861,5,0,0
E02000345,2590,22,0.849420849,0.849420849,8,5,12
E02000346,3971,111,2.795265676,2.795265676,9,6,13
E02000347,2581,32,1.239829523,1.239829523,8,5,12
E02000348,2725,47,1.724770642,1.724770642,7,5,12
E02000350,3693,32,0.866504197,0.866504197,8,6,18
E02000351,4229,36,0.851265074,0.851265074,11,5,11
E02000352,2689,60,2.231312756,2.231312756,11,6,18
E02000353,3157,17,0.538485904,0.538485904,10,6,18
E02000354,3995,73,1.827284105,1.827284105,8,7,20
E02000355,3116,45,1.444159178,1.444159178,6,6,17
E02000356,3062,32,1.045068583,1.045068583,9,6,17
E02000357,2723,91,3.341902314,3.341902314,8,3,9
E02000358,4818,66,1.369863014,1.369863014,11,8,22
E02000359,2435,46,1.889117043,1.889117043,4,4,14
E02000360,4850,104,2.144329897,2.144329897,7,6,17
E02000361,3678,51,1.386623165,1.386623165,7,5,16
E02000362,2802,84,2.997858672,2.997858672,8,4,24
E02000363,4446,126,2.834008097,2.834008097,6,5,29
E02000364,4098,62,1.512933138,1.512933138,9,7,20
E02000365,,,#DIV/0!,#DIV/0!,10,7,20
E02000366,3540,57,1.610169492,1.610169492,7,4,25
E02000367,4592,53,1.154181185,1.154181185,10,6,47
E02000368,4154,77,1.853635051,1.853635051,13,8,51
E02000369,5929,81,1.366166301,1.366166301,16,8,51
E02000370,3993,73,1.828199349,1.828199349,17,8,85
E02000371,,,#DIV/0!,#DIV/0!,17,9,104
E02000372,3877,65,1.676554037,1.676554037,11,5,11
E02000373,2539,60,2.363135093,2.363135093,7,4,9
E02000374,2612,46,1.761102603,1.761102603,5,2,3
E02000375,3497,52,1.486988848,1.486988848,9,6,13
E02000376,3184,26,0.816582915,0.816582915,5,2,3
E02000377,3446,30,0.870574579,0.870574579,5,2,2
E02000378,3248,20,0.615763547,0.615763547,7,4,7
E02000379,3103,39,1.256848211,1.256848211,6,2,2
E02000380,2499,15,0.600240096,0.600240096,6,2,2
E02000381,3548,29,0.817361894,0.817361894,9,5,9
E02000382,2772,31,1.118326118,1.118326118,6,2,2
E02000383,4113,28,0.680768296,0.680768296,10,6,12
E02000384,3806,43,1.12979506,1.12979506,7,3,4
E02000385,2850,8,0.280701754,0.280701754,7,4,7
E02000386,3365,67,1.991084695,1.991084695,8,5,10
E02000387,2586,28,1.082753287,1.082753287,7,4,7
E02000388,4126,22,0.533204072,0.533204072,10,7,17
E02000389,3679,15,0.407719489,0.407719489,8,2,3
E02000390,2719,21,0.772342773,0.772342773,7,3,5
E02000391,3281,24,0.731484304,0.731484304,10,5,15
E02000392,4037,32,0.792667823,0.792667823,7,2,4
E02000393,2591,11,0.424546507,0.424546507,6,2,3
E02000394,4348,62,1.425942962,1.425942962,9,3,10
E02000395,2639,12,0.454717696,0.454717696,7,1,2
E02000396,2767,31,1.120346946,1.120346946,7,2,4
E02000397,3475,45,1.294964029,1.294964029,7,1,2
E02000398,2881,74,2.568552586,2.568552586,7,1,2
E02000400,3117,36,1.154956689,1.154956689,8,1,2
E02000401,2475,45,1.818181818,1.818181818,7,2,4
E02000402,2422,45,1.857968621,1.857968621,8,2,4
E02000403,2989,22,0.736032118,0.736032118,8,1,2
E02000404,2665,42,1.575984991,1.575984991,8,2,4
E02000405,2465,15,0.60851927,0.60851927,12,2,4
E02000406,2597,43,1.655756642,1.655756642,7,2,4
E02000407,3005,49,1.630615641,1.630615641,6,1,2
E02000408,3002,51,1.698867422,1.698867422,6,1,2
E02000409,2369,47,1.983959477,1.983959477,8,3,7
