MSOA11CD,library_name_sum,filtered_library_name_sum,keyword_frequency_sum
E02000300,9,0.0,0.0
E02000301,10,3.0,43.0
E02000302,10,0.0,0.0
E02000303,8,0.0,0.0
E02000304,9,0.0,0.0
E02000305,7,0.0,0.0
E02000306,7,1.0,29.0
E02000307,9,0.0,0.0
E02000308,8,0.0,0.0
E02000309,7,1.0,29.0
E02000311,10,1.0,2.0
E02000312,10,1.0,2.0
E02000313,4,1.0,1.0
E02000314,9,2.0,3.0
E02000315,8,1.0,1.0
E02000316,8,2.0,3.0
E02000317,5,1.0,2.0
E02000318,8,2.0,3.0
E02000319,6,2.0,3.0
E02000320,9,1.0,1.0
E02000321,5,2.0,3.0
E02000323,6,2.0,3.0
E02000324,5,1.0,2.0
E02000326,4,0.0,0.0
E02000327,6,1.0,2.0
E02000328,7,1.0,2.0
E02000329,6,2.0,3.0
E02000331,5,1.0,2.0
E02000332,6,2.0,3.0
E02000333,7,1.0,8.0
E02000334,6,1.0,8.0
E02000335,6,0.0,0.0
E02000337,6,1.0,8.0
E02000339,3,0.0,0.0
E02000340,7,0.0,0.0
E02000341,10,2.0,9.0
E02000342,7,0.0,0.0
E02000343,6,0.0,0.0
E02000344,5,0.0,0.0
E02000345,8,5.0,12.0
E02000346,9,6.0,13.0
E02000347,8,5.0,12.0
E02000348,7,5.0,12.0
E02000350,8,6.0,18.0
E02000351,11,5.0,11.0
E02000352,11,6.0,18.0
E02000353,10,6.0,18.0
E02000354,8,7.0,20.0
E02000355,6,6.0,17.0
E02000356,9,6.0,17.0
E02000357,8,3.0,9.0
E02000358,11,8.0,22.0
E02000359,4,4.0,14.0
E02000360,7,6.0,17.0
E02000361,7,5.0,16.0
E02000362,8,4.0,24.0
E02000363,6,5.0,29.0
E02000364,9,7.0,20.0
E02000365,10,7.0,20.0
E02000366,7,4.0,25.0
E02000367,10,6.0,47.0
E02000368,13,8.0,51.0
E02000369,16,8.0,51.0
E02000370,17,8.0,85.0
E02000371,17,9.0,104.0
E02000372,11,5.0,11.0
E02000373,7,4.0,9.0
E02000374,5,2.0,3.0
E02000375,9,6.0,13.0
E02000376,5,2.0,3.0
E02000377,5,2.0,2.0
E02000378,7,4.0,7.0
E02000379,6,2.0,2.0
E02000380,6,2.0,2.0
E02000381,9,5.0,9.0
E02000382,6,2.0,2.0
E02000383,10,6.0,12.0
E02000384,7,3.0,4.0
E02000385,7,4.0,7.0
E02000386,8,5.0,10.0
E02000387,7,4.0,7.0
E02000388,10,7.0,17.0
E02000389,8,2.0,3.0
E02000390,7,3.0,5.0
E02000391,10,5.0,15.0
E02000392,7,2.0,4.0
E02000393,6,2.0,3.0
E02000394,9,3.0,10.0
E02000395,7,1.0,2.0
E02000396,7,2.0,4.0
E02000397,7,1.0,2.0
E02000398,7,1.0,2.0
E02000400,8,1.0,2.0
E02000401,7,2.0,4.0
