name,url
Shirley,https://www.croydon.gov.uk/libraries-leisure-and-culture/libraries/find-your-library/shirley-library
Ashburton,https://www.croydon.gov.uk/libraries-leisure-and-culture/libraries/find-your-library/ashburton-library
Broad Green,https://www.croydon.gov.uk/libraries-leisure-and-culture/libraries/find-your-library/broad-green-library
Thornton Heath,https://www.croydon.gov.uk/libraries-leisure-and-culture/libraries/find-your-library/thornton-heath-library
South Norwood,http://www.croydonlibraries.com/find-your-library/south-norwood-library
Norbury,https://www.croydon.gov.uk/libraries-leisure-and-culture/libraries/find-your-library/norbury-library
Upper Norwood,https://www.uppernorwoodlibraryhub.org
Northfields Library,https://www.ealing.gov.uk/info/201241/find_your_library/2399/northfields_community_library
Southall Library (Dominion Centre and Library),https://www.ealing.gov.uk/info/201241/find_your_library/2404/southall_library_and_dominion_centre
Acton Town Hall Library,https://www.ealing.gov.uk/info/201241/find_your_library/2395/acton_town_hall_library
West Ealing Library,https://www.ealing.gov.uk/info/201241/find_your_library/2406/west_ealing_community_library
Hanwell Library,https://www.ealing.gov.uk/info/201241/find_your_library/2397/hanwell_community_library
Ealing Central Library,https://www.ealing.gov.uk/info/201241/find_your_library/2386/ealing_central_library
Jubilee Gardens Library,https://www.ealing.gov.uk/info/201241/find_your_library/2398/jubilee_gardens_library
Pitshanger Library,https://www.ealing.gov.uk/info/201241/find_your_library/2403/pitshanger_library
Greenford Library,https://www.ealing.gov.uk/info/201241/find_your_library/2396/greenford_library
Northolt Library,https://www.ealing.gov.uk/info/201241/find_your_library/2401/northolt_library
Perivale Library,https://www.ealing.gov.uk/info/201241/find_your_library/2402/perivale_community_library
Northolt Leisure Centre Library,https://www.ealing.gov.uk/info/201241/find_your_library/2400/northolt_leisure_centre_library
Wood End Library,https://libraryon.org/library/E09000009/Wood-End-Library?id=2278
Fore Street,https://mylife.enfield.gov.uk/directory/providerdetails/210983
Angel Raynham,https://mylife.enfield.gov.uk/directory/providerdetails/216700
Bowes Road,https://mylife.enfield.gov.uk/directory/providerdetails/211098
Palmers Green,https://www.enfield.gov.uk/services/libraries/library-meeting-rooms-for-hire/palmers-green-library
Millfield House,https://mylife.enfield.gov.uk/directory/providerdetails/216434
Edmonton Green,https://mylife.enfield.gov.uk/directory/providerdetails/216435
Winchmore Hill,https://mylife.enfield.gov.uk/directory/providerdetails/211003
Southgate Circus,https://www.librarything.com/venue/15880/Southgate-Circus-Library
Ridge Avenue,https://mylife.enfield.gov.uk/directory/providerdetails/210995
John Jackson,https://mylife.enfield.gov.uk/directory/providerdetails/210973
Ponders End,https://mylife.enfield.gov.uk/directory/providerdetails/210993
Oakwood,https://mylife.enfield.gov.uk/directory/providerdetails/210990
Enfield Town,https://mylife.enfield.gov.uk/directory/providerdetails/210976
Enfield Highway,https://mylife.enfield.gov.uk/directory/providerdetails/210976
Enfield Island Village,https://mylife.enfield.gov.uk/directory/providerdetails/210977
Ordnance Unity Centre,https://mylife.enfield.gov.uk/directory/providerdetails/210991
Bullsmoor,https://mylife.enfield.gov.uk/directory/providerdetails/210969
Slad Central Library,http://www.better.org.uk/areas/greenwich/venues/slade-centre-library
Coldharbour Library,http://www.better.org.uk/areas/greenwich/venues/coldharbour-library
Mottingham Library,https://www.better.org.uk/library/london/bromley/mottingham-library
New Eltham Library,http://www.better.org.uk/areas/greenwich/venues/new-eltham-library
Eltham Centre Library,http://www.better.org.uk/areas/greenwich/venues/eltham-library
Blackheath Village community library service,https://www.age-exchange.org.uk/whats-on-now/
